order_id,product_id,quantity,price,discount
ORD_10001,PROD_168,1,2334,20%
ORD_10001,PROD_201,1,1738,0%
ORD_10002,PROD_8,3,2632,5%
ORD_10002,PROD_225,1,1654,20%
ORD_10002,PROD_149,2,1896,15%
ORD_10002,PROD_221,1,2234,20%
ORD_10003,PROD_26,3,1141,0%
ORD_10004,PROD_186,1,1858,5%
ORD_10004,PROD_329,3,2752,0%
ORD_10004,PROD_338,3,2022,0%
ORD_10004,PROD_144,1,2332,0%
ORD_10005,PROD_328,2,1044,5%
ORD_10006,PROD_210,1,1927,15%
ORD_10006,PROD_23,2,1327,0%
ORD_10006,PROD_148,2,1330,15%
ORD_10007,PROD_212,3,786,5%
ORD_10008,PROD_100,2,1008,0%
ORD_10008,PROD_88,3,1890,15%
ORD_10009,PROD_208,2,1139,15%
ORD_10009,PROD_330,2,343,0%
ORD_10009,PROD_268,2,841,0%
ORD_10009,PROD_41,2,2037,10%
ORD_10010,PROD_233,1,2486,20%
ORD_10010,PROD_121,2,501,0%
ORD_10011,PROD_162,1,1367,20%
ORD_10011,PROD_166,2,2016,15%
ORD_10012,PROD_246,1,1778,15%
ORD_10012,PROD_63,1,1309,0%
ORD_10012,PROD_222,3,512,0%
ORD_10013,PROD_76,2,1546,10%
ORD_10013,PROD_17,1,2949,0%
ORD_10013,PROD_282,3,694,0%
ORD_10013,PROD_16,1,774,20%
ORD_10014,PROD_256,1,1103,0%
ORD_10014,PROD_47,2,1673,0%
ORD_10015,PROD_136,3,1666,5%
ORD_10016,PROD_320,3,871,5%
ORD_10016,PROD_151,1,954,0%
ORD_10016,PROD_331,2,2219,0%
ORD_10016,PROD_263,3,973,10%
ORD_10017,PROD_96,3,2945,5%
ORD_10017,PROD_247,1,876,0%
ORD_10018,PROD_241,3,1564,20%
ORD_10018,PROD_136,1,1057,5%
ORD_10018,PROD_3,2,2155,20%
ORD_10019,PROD_116,1,2171,0%
ORD_10020,PROD_225,1,655,0%
ORD_10020,PROD_123,2,2723,5%
ORD_10020,PROD_244,2,799,10%
ORD_10021,PROD_134,3,1423,0%
ORD_10022,PROD_267,1,742,0%
ORD_10022,PROD_102,2,1696,10%
ORD_10022,PROD_165,3,290,0%
ORD_10023,PROD_196,3,928,15%
ORD_10023,PROD_205,1,957,0%
ORD_10023,PROD_91,2,2282,5%
ORD_10023,PROD_217,2,2838,20%
ORD_10024,PROD_259,1,1092,0%
ORD_10025,PROD_109,2,3018,5%
ORD_10025,PROD_189,3,988,15%
ORD_10025,PROD_59,2,471,20%
ORD_10025,PROD_122,3,259,10%
ORD_10026,PROD_121,2,545,0%
ORD_10026,PROD_194,1,246,15%
ORD_10026,PROD_209,2,1818,0%
ORD_10026,PROD_38,1,2955,10%
ORD_10027,PROD_181,1,2854,0%
ORD_10027,PROD_283,3,1884,15%
ORD_10027,PROD_328,2,683,10%
ORD_10028,PROD_31,1,2145,10%
ORD_10028,PROD_206,3,391,0%
ORD_10028,PROD_143,2,2761,15%
ORD_10028,PROD_249,3,3087,15%
ORD_10029,PROD_333,1,2748,10%
ORD_10030,PROD_319,2,920,20%
ORD_10030,PROD_21,3,841,5%
ORD_10031,PROD_93,2,1395,15%
ORD_10031,PROD_103,3,275,0%
ORD_10031,PROD_270,2,977,5%
ORD_10031,PROD_228,2,3074,20%
ORD_10032,PROD_282,3,778,0%
ORD_10032,PROD_342,2,1098,0%
ORD_10032,PROD_75,1,1816,0%
ORD_10032,PROD_49,3,2585,10%
ORD_10033,PROD_72,3,647,5%
ORD_10033,PROD_331,3,1426,0%
ORD_10033,PROD_182,2,2678,0%
ORD_10033,PROD_13,3,352,15%
ORD_10034,PROD_144,3,2620,0%
ORD_10035,PROD_326,2,2628,0%
ORD_10035,PROD_213,3,2016,20%
ORD_10035,PROD_279,1,1497,0%
ORD_10036,PROD_50,2,1753,0%
ORD_10036,PROD_200,2,426,5%
ORD_10036,PROD_205,2,2548,0%
ORD_10037,PROD_276,1,922,0%
ORD_10037,PROD_103,2,2397,5%
ORD_10038,PROD_112,1,1603,0%
ORD_10039,PROD_339,1,2333,15%
ORD_10039,PROD_155,1,842,10%
ORD_10040,PROD_231,1,795,10%
ORD_10040,PROD_296,1,552,0%
ORD_10041,PROD_134,1,2220,0%
ORD_10042,PROD_238,3,731,0%
ORD_10042,PROD_273,2,283,5%
ORD_10042,PROD_301,1,2473,0%
ORD_10043,PROD_75,2,428,15%
ORD_10043,PROD_189,2,2368,0%
ORD_10043,PROD_60,3,2191,20%
ORD_10044,PROD_46,3,974,15%
ORD_10044,PROD_323,3,2069,0%
ORD_10044,PROD_177,1,605,15%
ORD_10044,PROD_168,2,1903,0%
ORD_10045,PROD_328,1,1335,0%
ORD_10045,PROD_135,3,354,0%
ORD_10045,PROD_153,1,983,0%
ORD_10045,PROD_258,2,990,0%
ORD_10046,PROD_105,1,1196,10%
ORD_10047,PROD_269,2,1219,15%
ORD_10047,PROD_102,3,1751,10%
ORD_10048,PROD_76,3,1271,0%
ORD_10049,PROD_177,3,277,5%
ORD_10049,PROD_219,3,707,0%
ORD_10049,PROD_211,1,2728,20%
ORD_10050,PROD_249,1,1074,10%
ORD_10051,PROD_2,1,2105,0%
ORD_10051,PROD_299,2,1816,0%
ORD_10051,PROD_35,1,2266,15%
ORD_10051,PROD_245,2,364,20%
ORD_10052,PROD_3,1,582,20%
ORD_10052,PROD_163,3,1256,10%
ORD_10052,PROD_228,1,2193,5%
ORD_10053,PROD_142,1,3089,10%
ORD_10053,PROD_118,3,3032,5%
ORD_10053,PROD_19,3,2831,0%
ORD_10053,PROD_27,3,1008,15%
ORD_10054,PROD_95,1,409,20%
ORD_10055,PROD_18,3,2280,0%
ORD_10055,PROD_140,1,2986,5%
ORD_10055,PROD_242,1,721,15%
ORD_10055,PROD_126,1,2202,5%
ORD_10056,PROD_225,1,2651,5%
ORD_10056,PROD_290,2,2121,5%
ORD_10056,PROD_117,3,2475,20%
ORD_10057,PROD_57,1,2807,15%
ORD_10057,PROD_285,3,1417,15%
ORD_10058,PROD_63,1,3079,10%
ORD_10058,PROD_127,3,2979,0%
ORD_10058,PROD_111,1,2402,0%
ORD_10058,PROD_105,3,2929,0%
ORD_10059,PROD_90,3,528,20%
ORD_10059,PROD_110,1,984,10%
ORD_10059,PROD_103,2,343,20%
ORD_10059,PROD_273,1,470,20%
ORD_10060,PROD_166,1,2820,5%
ORD_10060,PROD_208,2,1577,0%
ORD_10060,PROD_183,1,1127,0%
ORD_10061,PROD_98,1,1707,15%
ORD_10061,PROD_336,1,1575,5%
ORD_10061,PROD_118,1,1492,20%
ORD_10061,PROD_128,2,1310,5%
ORD_10062,PROD_105,2,809,10%
ORD_10062,PROD_239,3,2283,10%
ORD_10063,PROD_163,1,1362,0%
ORD_10063,PROD_172,1,3076,0%
ORD_10064,PROD_262,1,2759,0%
ORD_10065,PROD_131,2,468,5%
ORD_10066,PROD_323,3,1179,0%
ORD_10066,PROD_276,3,1546,0%
