order_id,customer_id,order_date,order_value,payment_method,status,city
ORD_10001,CUST_8241,2024-02-16,3143,UPI,Cancelled,Kolkata
ORD_10002,CUST_4105,2024-03-15,1829,UPI,Delivered,Bangalore
ORD_10003,CUST_7421,2024-05-21,453,Card,Delivered,Kolkata
ORD_10004,CUST_2968,2024-03-15,1630,Card,Cancelled,Bangalore
ORD_10005,CUST_5653,2024-05-31,977,UPI,Delivered,Delhi
ORD_10006,CUST_7777,2024-01-03,1329,COD,Delivered,Bangalore
ORD_10007,CUST_8004,2024-02-19,4070,Netbanking,Returned,Kolkata
ORD_10008,CUST_5254,2023-12-30,2793,Netbanking,Delivered,Bangalore
ORD_10009,CUST_5387,2024-02-28,1668,Netbanking,Delivered,Pune
ORD_10010,CUST_2155,2024-05-14,2708,COD,Delivered,Delhi
ORD_10011,CUST_2037,2024-04-04,4278,COD,Delivered,Mumbai
ORD_10012,CUST_6834,2023-12-09,3660,Card,Delivered,Delhi
ORD_10013,CUST_3198,2024-05-21,2223,COD,Delivered,Chennai
ORD_10014,CUST_8588,2024-01-29,4184,Netbanking,Cancelled,Chennai
ORD_10015,CUST_8740,2024-03-24,4279,COD,Delivered,Pune
ORD_10016,CUST_3189,2024-05-09,1521,COD,Delivered,Delhi
ORD_10017,CUST_1655,2024-03-05,3258,Netbanking,Delivered,Bangalore
ORD_10018,CUST_1663,2024-02-17,2753,Netbanking,Delivered,Bangalore
ORD_10019,CUST_2101,2024-05-17,1804,UPI,Cancelled,Hyderabad
ORD_10020,CUST_7097,2024-03-25,4962,Netbanking,Cancelled,Bangalore
ORD_10021,CUST_4701,2024-03-03,2129,UPI,Delivered,Bangalore
ORD_10022,CUST_4326,2023-12-08,3536,COD,Delivered,Kolkata
ORD_10023,CUST_1882,2024-01-24,2895,Card,Delivered,Bangalore
ORD_10024,CUST_5534,2023-12-19,2057,COD,Returned,Mumbai
ORD_10025,CUST_6319,2024-04-23,4985,Card,Returned,Pune
ORD_10026,CUST_8587,2024-02-11,4089,UPI,Delivered,Chennai
ORD_10027,CUST_4894,2024-04-16,4864,Netbanking,Delivered,Pune
ORD_10028,CUST_5351,2024-02-12,2358,Netbanking,Delivered,Delhi
ORD_10029,CUST_6214,2024-04-20,1690,COD,Delivered,Delhi
ORD_10030,CUST_6358,2023-12-23,4853,Card,Cancelled,Bangalore
ORD_10031,CUST_1975,2024-03-15,731,Card,Delivered,Delhi
ORD_10032,CUST_6200,2024-03-10,4811,COD,Delivered,Bangalore
ORD_10033,CUST_1778,2024-04-10,1510,UPI,Returned,Hyderabad
ORD_10034,CUST_5142,2024-04-15,2689,UPI,Cancelled,Kolkata
ORD_10035,CUST_5325,2023-12-17,4704,Netbanking,Cancelled,Bangalore
ORD_10036,CUST_5642,2023-12-18,3113,Netbanking,Delivered,Chennai
ORD_10037,CUST_3069,2024-01-07,2571,COD,Delivered,Delhi
ORD_10038,CUST_6840,2024-02-15,2691,Card,Delivered,Delhi
ORD_10039,CUST_7665,2024-02-12,535,UPI,Delivered,Kolkata
ORD_10040,CUST_3437,2024-06-01,2160,Card,Delivered,Bangalore
ORD_10041,CUST_7072,2024-02-15,2474,UPI,Delivered,Pune
ORD_10042,CUST_8967,2024-01-23,720,Netbanking,Cancelled,Delhi
ORD_10043,CUST_4425,2024-01-24,3972,Card,Delivered,Mumbai
ORD_10044,CUST_6496,2024-03-28,4717,UPI,Returned,Mumbai
ORD_10045,CUST_2366,2024-02-16,3055,Netbanking,Delivered,Hyderabad
ORD_10046,CUST_3150,2024-04-03,2017,Card,Delivered,Pune
ORD_10047,CUST_8991,2024-03-20,2669,Netbanking,Delivered,Pune
ORD_10048,CUST_1661,2024-05-28,2020,COD,Delivered,Bangalore
ORD_10049,CUST_8786,2024-03-19,2676,COD,Delivered,Chennai
ORD_10050,CUST_7411,2024-01-27,2745,UPI,Delivered,Pune
ORD_10051,CUST_6716,2023-12-18,1479,Netbanking,Delivered,Mumbai
ORD_10052,CUST_8064,2024-01-24,1133,COD,Cancelled,Pune
ORD_10053,CUST_6907,2023-12-22,1688,UPI,Returned,Delhi
ORD_10054,CUST_2558,2024-05-26,1110,Card,Delivered,Pune
ORD_10055,CUST_1372,2024-01-27,379,COD,Delivered,Pune
ORD_10056,CUST_3826,2024-03-14,2818,COD,Delivered,Bangalore
ORD_10057,CUST_4672,2024-02-21,1168,COD,Cancelled,Chennai
